x,y
700000,6003000
700000,6006000
700000,6007000
700000,6008000
700000,6009000
700000,6010000
700000,6011000
700000,6012000
700000,6013000
701000,6000000
701000,6001000
701000,6002000
701000,6003000
701000,6004000
701000,6005000
701000,6006000
701000,6007000
701000,6008000
701000,6009000
701000,6010000
701000,6011000
701000,6012000
701000,6013000
701000,6014000
701000,6019000
701000,6020000
701000,6021000
702000,6000000
702000,6001000
702000,6002000
702000,6003000
702000,6004000
702000,6005000
702000,6006000
702000,6007000
702000,6008000
702000,6009000
702000,6010000
702000,6011000
702000,6012000
702000,6013000
702000,6014000
702000,6017000
702000,6018000
703000,6001000
703000,6002000
703000,6003000
703000,6004000
703000,6005000
703000,6006000
703000,6007000
703000,6008000
703000,6009000
703000,6010000
703000,6011000
703000,6012000
703000,6013000
703000,6014000
703000,6017000
703000,6018000
704000,6002000
704000,6003000
704000,6004000
704000,6005000
704000,6006000
704000,6007000
704000,6008000
704000,6009000
704000,6010000
704000,6011000
704000,6012000
704000,6013000
704000,6014000
704000,6015000
704000,6016000
704000,6017000
704000,6018000
705000,6011000
705000,6012000
705000,6013000
705000,6014000
705000,6015000
705000,6016000
705000,6017000
705000,6018000
705000,6019000
705000,6020000
705000,6021000
705000,6022000
706000,6011000
706000,6012000
706000,6013000
706000,6014000
706000,6015000
706000,6016000
706000,6017000
706000,6018000
706000,6019000
706000,6020000
706000,6021000
706000,6022000
707000,6011000
707000,6012000
707000,6013000
707000,6014000
707000,6015000
707000,6016000
707000,6017000
707000,6018000
707000,6019000
707000,6020000
707000,6021000
708000,6011000
708000,6012000
708000,6013000
708000,6014000
708000,6015000
708000,6016000
708000,6017000
708000,6018000
708000,6019000
708000,6020000
708000,6021000
709000,6011000
709000,6012000
709000,6013000
709000,6014000
709000,6015000
709000,6016000
709000,6017000
709000,6018000
709000,6019000
709000,6020000
709000,6021000
710000,6011000
710000,6012000
710000,6013000
710000,6014000
710000,6015000
710000,6016000
710000,6017000
710000,6018000
710000,6019000
710000,6020000
711000,6011000
711000,6012000
711000,6013000
711000,6014000
711000,6017000
711000,6018000
711000,6019000
711000,6020000
711000,6021000
712000,6011000
712000,6012000
712000,6013000
712000,6014000
712000,6017000
712000,6018000
712000,6019000
712000,6020000
712000,6021000
713000,6011000
713000,6012000
713000,6013000
713000,6014000
713000,6018000
713000,6019000
714000,6011000
714000,6012000
714000,6013000
714000,6017000
