x,y,gridcoords
760000.000000000000000,5946000.000000000000000,760000-5946000
760000.000000000000000,5947000.000000000000000,760000-5947000
760000.000000000000000,5948000.000000000000000,760000-5948000
761000.000000000000000,5942000.000000000000000,761000-5942000
761000.000000000000000,5943000.000000000000000,761000-5943000
761000.000000000000000,5944000.000000000000000,761000-5944000
761000.000000000000000,5945000.000000000000000,761000-5945000
761000.000000000000000,5946000.000000000000000,761000-5946000
761000.000000000000000,5947000.000000000000000,761000-5947000
761000.000000000000000,5948000.000000000000000,761000-5948000
761000.000000000000000,5949000.000000000000000,761000-5949000
761000.000000000000000,5957000.000000000000000,761000-5957000
761000.000000000000000,5958000.000000000000000,761000-5958000
761000.000000000000000,5959000.000000000000000,761000-5959000
761000.000000000000000,5960000.000000000000000,761000-5960000
761000.000000000000000,5961000.000000000000000,761000-5961000
761000.000000000000000,5962000.000000000000000,761000-5962000
761500.000000000000000,5946000.000000000000000,761500-5946000
762000.000000000000000,5941000.000000000000000,762000-5941000
762000.000000000000000,5942000.000000000000000,762000-5942000
762000.000000000000000,5943000.000000000000000,762000-5943000
762000.000000000000000,5943500.000000000000000,762000-5943500
762000.000000000000000,5944000.000000000000000,762000-5944000
762000.000000000000000,5945000.000000000000000,762000-5945000
762000.000000000000000,5945500.000000000000000,762000-5945500
762000.000000000000000,5946000.000000000000000,762000-5946000
762000.000000000000000,5947000.000000000000000,762000-5947000
762000.000000000000000,5948000.000000000000000,762000-5948000
762000.000000000000000,5949000.000000000000000,762000-5949000
762000.000000000000000,5950000.000000000000000,762000-5950000
762000.000000000000000,5951000.000000000000000,762000-5951000
762000.000000000000000,5952000.000000000000000,762000-5952000
762000.000000000000000,5954000.000000000000000,762000-5954000
762000.000000000000000,5955000.000000000000000,762000-5955000
762000.000000000000000,5956000.000000000000000,762000-5956000
762000.000000000000000,5957000.000000000000000,762000-5957000
762000.000000000000000,5958000.000000000000000,762000-5958000
762000.000000000000000,5959000.000000000000000,762000-5959000
762000.000000000000000,5960000.000000000000000,762000-5960000
762000.000000000000000,5961000.000000000000000,762000-5961000
762000.000000000000000,5962000.000000000000000,762000-5962000
762500.000000000000000,5942000.000000000000000,762500-5942000
762500.000000000000000,5942500.000000000000000,762500-5942500
762500.000000000000000,5943000.000000000000000,762500-5943000
762500.000000000000000,5943500.000000000000000,762500-5943500
762500.000000000000000,5944500.000000000000000,762500-5944500
762500.000000000000000,5945000.000000000000000,762500-5945000
762500.000000000000000,5945500.000000000000000,762500-5945500
762500.000000000000000,5947500.000000000000000,762500-5947500
762500.000000000000000,5948000.000000000000000,762500-5948000
762500.000000000000000,5944500.000000000000000,762500-5944500
762500.000000000000000,5948000.000000000000000,762500-5948000
762500.000000000000000,5948500.000000000000000,762500-5948500
762500.000000000000000,5951000.000000000000000,762500-5951000
762500.000000000000000,5951500.000000000000000,762500-5951500
763000.000000000000000,5942000.000000000000000,763000-5942000
763000.000000000000000,5942500.000000000000000,763000-5942500
763000.000000000000000,5943000.000000000000000,763000-5943000
763000.000000000000000,5943500.000000000000000,763000-5943500
763000.000000000000000,5944000.000000000000000,763000-5944000
763000.000000000000000,5944500.000000000000000,763000-5944500
763000.000000000000000,5945000.000000000000000,763000-5945000
763000.000000000000000,5945500.000000000000000,763000-5945500
763000.000000000000000,5946000.000000000000000,763000-5946000
763000.000000000000000,5947000.000000000000000,763000-5947000
763000.000000000000000,5947500.000000000000000,763000-5947500
763000.000000000000000,5948000.000000000000000,763000-5948000
763000.000000000000000,5948500.000000000000000,763000-5948500
763000.000000000000000,5949000.000000000000000,763000-5949000
763000.000000000000000,5950000.000000000000000,763000-5950000
763000.000000000000000,5950500.000000000000000,763000-5950500
763000.000000000000000,5951000.000000000000000,763000-5951000
763000.000000000000000,5951500.000000000000000,763000-5951500
763000.000000000000000,5952000.000000000000000,763000-5952000
763000.000000000000000,5953000.000000000000000,763000-5953000
763000.000000000000000,5954000.000000000000000,763000-5954000
763000.000000000000000,5955000.000000000000000,763000-5955000
763000.000000000000000,5956000.000000000000000,763000-5956000
763000.000000000000000,5957000.000000000000000,763000-5957000
763000.000000000000000,5958000.000000000000000,763000-5958000
763000.000000000000000,5959000.000000000000000,763000-5959000
763000.000000000000000,5960000.000000000000000,763000-5960000
763000.000000000000000,5961000.000000000000000,763000-5961000
763000.000000000000000,5962000.000000000000000,763000-5962000
763000.000000000000000,5947000.000000000000000,763000-5947000
763000.000000000000000,5947500.000000000000000,763000-5947500
763000.000000000000000,5948000.000000000000000,763000-5948000
763000.000000000000000,5950500.000000000000000,763000-5950500
763000.000000000000000,5951000.000000000000000,763000-5951000
763000.000000000000000,5951500.000000000000000,763000-5951500
763500.000000000000000,5942500.000000000000000,763500-5942500
763500.000000000000000,5943000.000000000000000,763500-5943000
763500.000000000000000,5943500.000000000000000,763500-5943500
763500.000000000000000,5944000.000000000000000,763500-5944000
763500.000000000000000,5944500.000000000000000,763500-5944500
763500.000000000000000,5945000.000000000000000,763500-5945000
763500.000000000000000,5945500.000000000000000,763500-5945500
763500.000000000000000,5946000.000000000000000,763500-5946000
763500.000000000000000,5947000.000000000000000,763500-5947000
763500.000000000000000,5947500.000000000000000,763500-5947500
763500.000000000000000,5948000.000000000000000,763500-5948000
763500.000000000000000,5948500.000000000000000,763500-5948500
763500.000000000000000,5949000.000000000000000,763500-5949000
763500.000000000000000,5950500.000000000000000,763500-5950500
763500.000000000000000,5951000.000000000000000,763500-5951000
763500.000000000000000,5951500.000000000000000,763500-5951500
763500.000000000000000,5945000.000000000000000,763500-5945000
763500.000000000000000,5947000.000000000000000,763500-5947000
763500.000000000000000,5947500.000000000000000,763500-5947500
763500.000000000000000,5948000.000000000000000,763500-5948000
763500.000000000000000,5950500.000000000000000,763500-5950500
763500.000000000000000,5951000.000000000000000,763500-5951000
763500.000000000000000,5951500.000000000000000,763500-5951500
764000.000000000000000,5943000.000000000000000,764000-5943000
764000.000000000000000,5943500.000000000000000,764000-5943500
764000.000000000000000,5944000.000000000000000,764000-5944000
764000.000000000000000,5944500.000000000000000,764000-5944500
764000.000000000000000,5945000.000000000000000,764000-5945000
764000.000000000000000,5945500.000000000000000,764000-5945500
764000.000000000000000,5946000.000000000000000,764000-5946000
764000.000000000000000,5946500.000000000000000,764000-5946500
764000.000000000000000,5947000.000000000000000,764000-5947000
764000.000000000000000,5947500.000000000000000,764000-5947500
764000.000000000000000,5948000.000000000000000,764000-5948000
764000.000000000000000,5948500.000000000000000,764000-5948500
764000.000000000000000,5949000.000000000000000,764000-5949000
764000.000000000000000,5950000.000000000000000,764000-5950000
764000.000000000000000,5951000.000000000000000,764000-5951000
764000.000000000000000,5952000.000000000000000,764000-5952000
764000.000000000000000,5953000.000000000000000,764000-5953000
764000.000000000000000,5954000.000000000000000,764000-5954000
764000.000000000000000,5955000.000000000000000,764000-5955000
764000.000000000000000,5956000.000000000000000,764000-5956000
764000.000000000000000,5957000.000000000000000,764000-5957000
764000.000000000000000,5958000.000000000000000,764000-5958000
764000.000000000000000,5959000.000000000000000,764000-5959000
764000.000000000000000,5960000.000000000000000,764000-5960000
764000.000000000000000,5961000.000000000000000,764000-5961000
764000.000000000000000,5962000.000000000000000,764000-5962000
764000.000000000000000,5963000.000000000000000,764000-5963000
764500.000000000000000,5943000.000000000000000,764500-5943000
764500.000000000000000,5943500.000000000000000,764500-5943500
764500.000000000000000,5944000.000000000000000,764500-5944000
764500.000000000000000,5944500.000000000000000,764500-5944500
764500.000000000000000,5945000.000000000000000,764500-5945000
764500.000000000000000,5945500.000000000000000,764500-5945500
764500.000000000000000,5946000.000000000000000,764500-5946000
764500.000000000000000,5946500.000000000000000,764500-5946500
764500.000000000000000,5947000.000000000000000,764500-5947000
764500.000000000000000,5947500.000000000000000,764500-5947500
764500.000000000000000,5948000.000000000000000,764500-5948000
764500.000000000000000,5948500.000000000000000,764500-5948500
764500.000000000000000,5945500.000000000000000,764500-5945500
764500.000000000000000,5947500.000000000000000,764500-5947500
765000.000000000000000,5944500.000000000000000,765000-5944500
765000.000000000000000,5945000.000000000000000,765000-5945000
765000.000000000000000,5945500.000000000000000,765000-5945500
765000.000000000000000,5946000.000000000000000,765000-5946000
765000.000000000000000,5947000.000000000000000,765000-5947000
765000.000000000000000,5947500.000000000000000,765000-5947500
765000.000000000000000,5948000.000000000000000,765000-5948000
765000.000000000000000,5948500.000000000000000,765000-5948500
765000.000000000000000,5949000.000000000000000,765000-5949000
765000.000000000000000,5950000.000000000000000,765000-5950000
765000.000000000000000,5951000.000000000000000,765000-5951000
765000.000000000000000,5952000.000000000000000,765000-5952000
765000.000000000000000,5953000.000000000000000,765000-5953000
765000.000000000000000,5954000.000000000000000,765000-5954000
765000.000000000000000,5955000.000000000000000,765000-5955000
765000.000000000000000,5956000.000000000000000,765000-5956000
765000.000000000000000,5957000.000000000000000,765000-5957000
765000.000000000000000,5958000.000000000000000,765000-5958000
765000.000000000000000,5959000.000000000000000,765000-5959000
765000.000000000000000,5960000.000000000000000,765000-5960000
765000.000000000000000,5961000.000000000000000,765000-5961000
765000.000000000000000,5962000.000000000000000,765000-5962000
765000.000000000000000,5963000.000000000000000,765000-5963000
765000.000000000000000,5946500.000000000000000,765000-5946500
765000.000000000000000,5947000.000000000000000,765000-5947000
765000.000000000000000,5947500.000000000000000,765000-5947500
765000.000000000000000,5948000.000000000000000,765000-5948000
765500.000000000000000,5947000.000000000000000,765500-5947000
765500.000000000000000,5947500.000000000000000,765500-5947500
765500.000000000000000,5948000.000000000000000,765500-5948000
765500.000000000000000,5948500.000000000000000,765500-5948500
765500.000000000000000,5957000.000000000000000,765500-5957000
765500.000000000000000,5963000.000000000000000,765500-5963000
765500.000000000000000,5963500.000000000000000,765500-5963500
765500.000000000000000,5946500.000000000000000,765500-5946500
765500.000000000000000,5947000.000000000000000,765500-5947000
765500.000000000000000,5947500.000000000000000,765500-5947500
765500.000000000000000,5948000.000000000000000,765500-5948000
765500.000000000000000,5956500.000000000000000,765500-5956500
765500.000000000000000,5957000.000000000000000,765500-5957000
766000.000000000000000,5946500.000000000000000,766000-5946500
766000.000000000000000,5947000.000000000000000,766000-5947000
766000.000000000000000,5947500.000000000000000,766000-5947500
766000.000000000000000,5948000.000000000000000,766000-5948000
766000.000000000000000,5948500.000000000000000,766000-5948500
766000.000000000000000,5949000.000000000000000,766000-5949000
766000.000000000000000,5949500.000000000000000,766000-5949500
766000.000000000000000,5950000.000000000000000,766000-5950000
