x,y
759500,5933500
760000,5933500
760500,5933500
761000,5933500
761500,5933500
759500,5934000
760000,5934000
760500,5934000
761000,5934000
761500,5934000
759000,5934500
762000,5934500
759500,5934500
760000,5934500
760500,5934500
761000,5934500
761500,5934500
759000,5935000
762000,5935000
759500,5935000
760000,5935000
760500,5935000
761000,5935000
761500,5935000
764000,5935500
759500,5935500
760000,5935500
760500,5935500
761000,5935500
761500,5935500
759500,5936000
760000,5936000
760500,5936000
761000,5936000
761500,5936000
763000,5936000
763500,5936000
764000,5936000
764500,5936000
765000,5936000
760500,5936500
762000,5936500
762500,5936500
763000,5936500
763500,5936500
764000,5936500
764500,5936500
765000,5936500
765500,5936500
766000,5936500
762000,5937000
762500,5937000
763000,5937000
763500,5937000
764000,5937000
764500,5937000
765000,5937000
765500,5937000
766000,5937000
766500,5937000
767000,5937000
761500,5937500
762000,5937500
762500,5937500
763000,5937500
763500,5937500
764000,5937500
764500,5937500
765000,5937500
765500,5937500
766000,5937500
766500,5937500
767000,5937500
767500,5938000
762000,5938000
762500,5938000
763000,5938000
763500,5938000
764000,5938000
764500,5938000
765000,5938000
765500,5938000
766000,5938000
766500,5938000
767000,5938000
762000,5938500
762500,5938500
763000,5938500
763500,5938500
764000,5938500
764500,5938500
765000,5938500
765500,5938500
766000,5938500
766500,5938500
767000,5938500
762000,5939000
762500,5939000
763000,5939000
763500,5939000
764000,5939000
764500,5939000
765000,5939000
765500,5939000
766000,5939000
766500,5939000
767000,5939000
767000,5939500
762500,5939500
763000,5939500
763500,5939500
764000,5939500
764500,5939500
765000,5939500
765500,5939500
766000,5939500
766500,5939500
762000,5940000
762500,5940000
763000,5940000
763500,5940000
764000,5940000
764500,5940000
765000,5940000
765500,5940000
766000,5940000
766500,5940000
763500,5940500
761000,5940500
761500,5940500
762000,5940500
762500,5940500
763000,5940500
764500,5940500
765000,5940500
765500,5940500
766000,5940500
766500,5940500
765500,5941000
761000,5941000
761500,5941000
762000,5941000
762500,5941000
763000,5941000
760500,5941500
761000,5941500
761500,5941500
762000,5941500
762500,5941500
763000,5941500
763500,5941500
764000,5941500
761000,5942000
761500,5942000
762000,5942000
762500,5942000
763000,5942000
763500,5942000
764000,5942000
761000,5942500
761500,5942500
762000,5942500
762500,5942500
763000,5942500
763500,5942500
764000,5942500
764500,5942500
761000,5943000
761500,5943000
762000,5943000
762500,5943000
763000,5943000
763500,5943000
764000,5943000
764500,5943000
765000,5943000
760500,5943500
761000,5943500
761500,5943500
762000,5943500
762500,5943500
763000,5943500
763500,5943500
764000,5943500
764500,5943500
765000,5943500
765500,5943500
760500,5944000
761000,5944000
761500,5944000
762000,5944000
762500,5944000
763000,5944000
763500,5944000
764000,5944000
764500,5944000
765000,5944000
765500,5944000
760000,5944500
766000,5944500
760500,5944500
761000,5944500
761500,5944500
762000,5944500
762500,5944500
763000,5944500
763500,5944500
764000,5944500
764500,5944500
765000,5944500
765500,5944500
766000,5945000
760000,5945000
760500,5945000
761000,5945000
761500,5945000
762000,5945000
762500,5945000
763000,5945000
763500,5945000
764000,5945000
764500,5945000
765000,5945000
765500,5945000
770500,5945500
760000,5945500
760500,5945500
761000,5945500
761500,5945500
762000,5945500
762500,5945500
763000,5945500
763500,5945500
764000,5945500
764500,5945500
765000,5945500
765500,5945500
766000,5945500
766500,5945500
759500,5946000
768000,5946000
760000,5946000
760500,5946000
761000,5946000
761500,5946000
762000,5946000
762500,5946000
763000,5946000
763500,5946000
764000,5946000
764500,5946000
765000,5946000
765500,5946000
766000,5946000
766500,5946000
767000,5946000
769500,5946000
770000,5946000
770500,5946000
771000,5946000
771500,5946000
760000,5946500
760500,5946500
761000,5946500
761500,5946500
762000,5946500
762500,5946500
763000,5946500
763500,5946500
764000,5946500
764500,5946500
765000,5946500
765500,5946500
766000,5946500
766500,5946500
767000,5946500
767500,5946500
768000,5946500
768500,5946500
769000,5946500
769500,5946500
770000,5946500
770500,5946500
771000,5946500
771500,5946500
772000,5946500
760000,5947000
760500,5947000
761000,5947000
761500,5947000
762000,5947000
762500,5947000
763000,5947000
763500,5947000
764000,5947000
764500,5947000
765000,5947000
765500,5947000
766000,5947000
766500,5947000
767000,5947000
767500,5947000
768000,5947000
768500,5947000
769000,5947000
769500,5947000
770000,5947000
770500,5947000
771000,5947000
771500,5947000
772000,5947000
772500,5947000
773000,5947000
761000,5947500
761500,5947500
762000,5947500
762500,5947500
763000,5947500
763500,5947500
764000,5947500
764500,5947500
765000,5947500
765500,5947500
766000,5947500
766500,5947500
767000,5947500
767500,5947500
768000,5947500
768500,5947500
769000,5947500
769500,5947500
770000,5947500
770500,5947500
771000,5947500
771500,5947500
772000,5947500
772500,5947500
773000,5947500
761000,5948000
773500,5948000
761500,5948000
762000,5948000
762500,5948000
763000,5948000
763500,5948000
764000,5948000
764500,5948000
765000,5948000
765500,5948000
766000,5948000
766500,5948000
767000,5948000
767500,5948000
768000,5948000
768500,5948000
769000,5948000
769500,5948000
770000,5948000
770500,5948000
771000,5948000
771500,5948000
772000,5948000
772500,5948000
773000,5948000
761000,5948500
761500,5948500
762000,5948500
762500,5948500
763000,5948500
763500,5948500
764000,5948500
764500,5948500
765000,5948500
765500,5948500
766000,5948500
766500,5948500
767000,5948500
767500,5948500
768000,5948500
768500,5948500
769000,5948500
769500,5948500
770000,5948500
770500,5948500
771000,5948500
771500,5948500
772000,5948500
772500,5948500
773000,5948500
761500,5949000
762000,5949000
762500,5949000
763000,5949000
763500,5949000
764000,5949000
764500,5949000
765000,5949000
765500,5949000
766000,5949000
766500,5949000
767000,5949000
767500,5949000
768000,5949000
768500,5949000
769000,5949000
769500,5949000
770000,5949000
770500,5949000
771000,5949000
771500,5949000
772000,5949000
772500,5949000
773000,5949000
772000,5949500
761500,5949500
762000,5949500
762500,5949500
763000,5949500
763500,5949500
764000,5949500
764500,5949500
765000,5949500
765500,5949500
766000,5949500
766500,5949500
767000,5949500
767500,5949500
768000,5949500
768500,5949500
769000,5949500
769500,5949500
770000,5949500
770500,5949500
771000,5949500
771500,5949500
762000,5950000
762500,5950000
763000,5950000
763500,5950000
764000,5950000
764500,5950000
765000,5950000
765500,5950000
766000,5950000
766500,5950000
767000,5950000
767500,5950000
768000,5950000
768500,5950000
769000,5950000
769500,5950000
770000,5950000
