x,y
698000,6025000
698000,6026000
698000,6027000
698000,6028000
698000,6029000
698000,6030000
699000,6023000
699000,6024000
699000,6025000
699000,6026000
699000,6027000
699000,6028000
699000,6029000
699000,6030000
700000,6003000
700000,6006000
700000,6007000
700000,6008000
700000,6009000
700000,6010000
700000,6011000
700000,6012000
700000,6013000
700000,6022000
700000,6023000
700000,6024000
700000,6025000
700000,6026000
700000,6028000
700000,6029000
700000,6030000
700000,6031000
700000,6036000
701000,6000000
701000,6001000
701000,6002000
701000,6003000
701000,6004000
701000,6005000
701000,6006000
701000,6007000
701000,6008000
701000,6009000
701000,6010000
701000,6011000
701000,6012000
701000,6013000
701000,6014000
701000,6019000
701000,6020000
701000,6021000
701000,6027000
701000,6028000
701000,6029000
701000,6030000
701000,6031000
701000,6035000
701000,6036000
701000,6037000
702000,5993000
702000,5995000
702000,6000000
702000,6001000
702000,6002000
702000,6003000
702000,6004000
702000,6005000
702000,6006000
702000,6007000
702000,6008000
702000,6009000
702000,6010000
702000,6011000
702000,6012000
702000,6013000
702000,6014000
702000,6017000
702000,6018000
702000,6027000
702000,6028000
702000,6029000
702000,6030000
702000,6032000
702000,6035000
702000,6036000
702000,6037000
702000,6040000
702000,6041000
702000,6042000
702000,6043000
702000,6044000
702000,6045000
702000,6046000
702000,6047000
703000,5993000
703000,5994000
703000,5995000
703000,6001000
703000,6002000
703000,6003000
703000,6004000
703000,6005000
703000,6006000
703000,6007000
703000,6008000
703000,6009000
703000,6010000
703000,6011000
703000,6012000
703000,6013000
703000,6014000
703000,6017000
703000,6018000
703000,6029000
703000,6030000
703000,6031000
703000,6032000
703000,6033000
703000,6034000
703000,6037000
703000,6038000
703000,6039000
703000,6040000
703000,6041000
703000,6042000
703000,6043000
703000,6044000
703000,6045000
703000,6046000
704000,5993000
704000,5994000
704000,5995000
704000,6002000
704000,6003000
704000,6004000
704000,6005000
704000,6006000
704000,6007000
704000,6008000
704000,6009000
704000,6010000
704000,6011000
704000,6012000
704000,6013000
704000,6014000
704000,6015000
704000,6016000
704000,6017000
704000,6018000
704000,6025000
704000,6026000
704000,6027000
704000,6028000
704000,6029000
704000,6030000
704000,6031000
704000,6032000
704000,6033000
704000,6034000
704000,6035000
704000,6036000
704000,6037000
704000,6038000
704000,6039000
704000,6040000
704000,6041000
704000,6042000
704000,6043000
704000,6044000
704000,6045000
704000,6046000
705000,5991000
705000,5992000
705000,5993000
705000,5994000
705000,5995000
705000,5996000
705000,6001000
705000,6002000
705000,6003000
705000,6004000
705000,6005000
705000,6006000
705000,6007000
705000,6008000
705000,6009000
705000,6010000
705000,6011000
705000,6012000
705000,6013000
705000,6014000
705000,6015000
705000,6016000
705000,6017000
705000,6018000
705000,6019000
705000,6020000
705000,6021000
705000,6022000
705000,6025000
705000,6026000
705000,6027000
705000,6028000
705000,6029000
705000,6030000
705000,6031000
705000,6032000
705000,6033000
705000,6034000
705000,6035000
