x,y
705000,6001000
705000,6002000
705000,6003000
705000,6004000
705000,6005000
705000,6006000
705000,6007000
705000,6008000
705000,6009000
705000,6010000
706000,6001000
706000,6002000
706000,6003000
706000,6004000
706000,6005000
706000,6006000
706000,6007000
706000,6008000
706000,6009000
706000,6010000
707000,6000000
707000,6001000
707000,6002000
707000,6003000
707000,6004000
707000,6005000
707000,6006000
707000,6007000
707000,6008000
707000,6009000
707000,6010000
708000,5998000
708000,5999000
708000,6000000
708000,6001000
708000,6002000
708000,6003000
708000,6004000
708000,6005000
708000,6006000
708000,6007000
708000,6008000
708000,6009000
708000,6010000
709000,5998000
709000,5999000
709000,6000000
709000,6001000
709000,6002000
709000,6003000
709000,6004000
709000,6005000
709000,6006000
709000,6007000
709000,6008000
709000,6009000
709000,6010000
710000,5998000
710000,5999000
710000,6000000
710000,6001000
710000,6002000
710000,6003000
710000,6004000
710000,6005000
710000,6006000
710000,6007000
710000,6008000
710000,6009000
710000,6010000
711000,5998000
711000,5999000
711000,6000000
711000,6001000
711000,6002000
711000,6003000
711000,6004000
711000,6005000
711000,6006000
711000,6007000
711000,6008000
711000,6009000
711000,6010000
712000,5998000
712000,5999000
712000,6000000
712000,6001000
712000,6002000
712000,6003000
712000,6004000
712000,6005000
712000,6007000
712000,6008000
712000,6009000
712000,6010000
713000,5998000
713000,5999000
713000,6000000
713000,6001000
713000,6002000
713000,6004000
713000,6005000
713000,6006000
713000,6007000
713000,6008000
713000,6009000
713000,6010000
714000,5998000
714000,5999000
714000,6000000
714000,6001000
714000,6002000
714000,6007000
714000,6008000
714000,6009000
714000,6010000
715000,5998000
715000,5999000
715000,6000000
715000,6002000
716000,5998000
716000,5999000
717000,5998000
717000,5999000
718000,5998000
718000,5999000
718000,6000000
719000,5998000
719000,5999000
719000,6000000
719000,6001000
720000,5998000
720000,5999000
720000,6000000
720000,6001000
720000,6002000
720000,6003000
720000,6005000
720000,6006000
720000,6007000
720000,6008000
720000,6009000
721000,5998000
721000,5999000
721000,6000000
721000,6001000
721000,6002000
721000,6003000
721000,6005000
721000,6006000
721000,6007000
721000,6008000
721000,6009000
722000,5998000
722000,5999000
722000,6000000
722000,6001000
722000,6002000
722000,6003000
722000,6004000
722000,6005000
722000,6006000
722000,6007000
722000,6008000
722000,6009000
723000,5998000
723000,5999000
723000,6000000
723000,6001000
723000,6002000
723000,6003000
723000,6004000
723000,6005000
723000,6006000
723000,6007000
723000,6008000
724000,6001000
724000,6002000
724000,6003000
724000,6004000
724000,6005000
724000,6006000
724000,6007000
724000,6008000
725000,6005000
725000,6006000
725000,6008000
