x,y
702000,5993000
702000,5995000
703000,5993000
703000,5994000
703000,5995000
704000,5993000
704000,5994000
704000,5995000
705000,5991000
705000,5992000
705000,5993000
705000,5994000
705000,5995000
705000,5996000
706000,5992000
706000,5993000
706000,5994000
706000,5995000
707000,5987000
707000,5992000
707000,5993000
707000,5994000
707000,5995000
708000,5987000
708000,5988000
708000,5989000
708000,5990000
708000,5991000
708000,5992000
708000,5994000
708000,5995000
708000,5996000
708000,5997000
709000,5988000
709000,5989000
709000,5990000
709000,5991000
709000,5992000
709000,5994000
709000,5995000
709000,5996000
709000,5997000
710000,5989000
710000,5990000
710000,5991000
710000,5992000
710000,5994000
710000,5996000
710000,5997000
711000,5996000
711000,5997000
712000,5994000
712000,5995000
712000,5996000
712000,5997000
713000,5991000
713000,5992000
713000,5993000
713000,5994000
713000,5995000
713000,5996000
713000,5997000
714000,5989000
714000,5990000
714000,5991000
714000,5992000
714000,5993000
714000,5994000
714000,5995000
714000,5996000
714000,5997000
715000,5989000
715000,5990000
715000,5991000
715000,5992000
715000,5993000
715000,5994000
715000,5995000
715000,5996000
715000,5997000
716000,5989000
716000,5990000
716000,5991000
716000,5992000
716000,5993000
716000,5994000
716000,5995000
716000,5996000
716000,5997000
717000,5992000
717000,5993000
717000,5994000
717000,5995000
717000,5996000
717000,5997000
718000,5992000
718000,5994000
718000,5995000
718000,5996000
718000,5997000
719000,5994000
719000,5995000
719000,5996000
719000,5997000
720000,5994000
720000,5995000
720000,5996000
720000,5997000
721000,5996000
721000,5997000
722000,5997000
723000,5997000
