x,y
698000,6025000
698000,6026000
698000,6027000
698000,6028000
698000,6029000
698000,6030000
699000,6023000
699000,6024000
699000,6025000
699000,6026000
699000,6027000
699000,6028000
699000,6029000
699000,6030000
700000,6022000
700000,6023000
700000,6024000
700000,6025000
700000,6026000
700000,6028000
700000,6029000
700000,6030000
700000,6031000
700000,6036000
701000,6027000
701000,6028000
701000,6029000
701000,6030000
701000,6031000
701000,6035000
701000,6036000
701000,6037000
702000,6027000
702000,6028000
702000,6029000
702000,6030000
702000,6032000
702000,6035000
702000,6036000
702000,6037000
702000,6040000
702000,6041000
702000,6042000
702000,6043000
702000,6044000
702000,6045000
702000,6046000
702000,6047000
703000,6029000
703000,6030000
703000,6031000
703000,6032000
703000,6033000
703000,6034000
703000,6037000
703000,6038000
703000,6039000
703000,6040000
703000,6041000
703000,6042000
703000,6043000
703000,6044000
703000,6045000
703000,6046000
704000,6025000
704000,6026000
704000,6027000
704000,6028000
704000,6029000
704000,6030000
704000,6031000
704000,6032000
704000,6033000
704000,6034000
704000,6035000
704000,6036000
704000,6037000
704000,6038000
704000,6039000
704000,6040000
704000,6041000
704000,6042000
704000,6043000
704000,6044000
704000,6045000
704000,6046000
705000,6025000
705000,6026000
705000,6027000
705000,6028000
705000,6029000
705000,6030000
705000,6031000
705000,6032000
705000,6033000
705000,6034000
705000,6035000
705000,6036000
705000,6037000
705000,6038000
705000,6039000
705000,6040000
705000,6041000
705000,6042000
705000,6043000
705000,6044000
705000,6045000
706000,6024000
706000,6025000
706000,6026000
706000,6027000
706000,6028000
706000,6029000
706000,6030000
706000,6031000
706000,6032000
706000,6033000
706000,6034000
706000,6035000
706000,6036000
706000,6037000
706000,6038000
706000,6039000
706000,6040000
706000,6041000
707000,6023000
707000,6024000
707000,6025000
707000,6026000
707000,6027000
707000,6028000
707000,6029000
707000,6030000
707000,6031000
707000,6032000
707000,6033000
707000,6034000
707000,6035000
707000,6036000
708000,6022000
708000,6023000
708000,6024000
708000,6025000
708000,6026000
708000,6027000
708000,6028000
708000,6029000
708000,6030000
708000,6031000
708000,6032000
708000,6033000
708000,6034000
708000,6035000
708000,6036000
709000,6022000
709000,6023000
709000,6024000
709000,6025000
709000,6027000
709000,6028000
709000,6029000
709000,6030000
709000,6031000
709000,6032000
709000,6033000
709000,6034000
709000,6035000
710000,6022000
710000,6023000
710000,6024000
710000,6025000
710000,6028000
710000,6029000
710000,6032000
710000,6033000
710000,6034000
711000,6022000
711000,6023000
711000,6024000
711000,6025000
712000,6022000
